gene_id	trimmed_mean_expression
ENSG00000013503.10	5.9218693
ENSG00000013523.11	13.073236
ENSG00000013561.18	13.1195545
ENSG00000013563.14	8.523399
ENSG00000013573.17	15.236195
ENSG00000013583.10	24.245386
ENSG00000013588.9	0.53020525
ENSG00000013619.14	1.3400869
ENSG00000013725.14	27.07939
ENSG00000013810.20	48.850155
ENSG00000014123.10	31.68398
ENSG00000014138.9	2.905618
ENSG00000014164.7	45.019352
ENSG00000014216.16	80.64286
ENSG00000014257.16	14.950462
ENSG00000014641.21	32.70183
ENSG00000014824.14	20.830847
ENSG00000014914.21	8.684864
ENSG00000014919.13	14.864817
ENSG00000015133.19	41.763706
ENSG00000015153.15	18.843435
ENSG00000015171.20	26.735273
ENSG00000015285.11	123.574486
ENSG00000015413.9	1.1554418
ENSG00000015475.19	40.966465
ENSG00000015479.20	16.558117
ENSG00000015520.15	0.40619195
ENSG00000015532.10	13.745407
ENSG00000015568.13	0.19578126
ENSG00000015592.16	0.05654887
ENSG00000015676.18	16.66016
ENSG00000016082.15	0.011766011
ENSG00000016391.11	0.30776265
ENSG00000016402.13	0.02217064
ENSG00000016490.16	0.0145509355
ENSG00000016602.9	0.029745517
ENSG00000016864.18	18.753212
ENSG00000017260.20	55.872627
ENSG00000017427.17	0.04211251
ENSG00000017483.15	21.01985
ENSG00000017797.13	33.85626
ENSG00000018189.13	13.405592
ENSG00000018236.15	0.25938696
ENSG00000018280.17	37.67759
ENSG00000018408.15	0.30300167
ENSG00000018510.17	28.880539
ENSG00000018607.7	0.0072755665
ENSG00000018610.15	24.679365
ENSG00000018625.15	0.06845793
ENSG00000018699.13	20.879776
ENSG00000018869.17	1.8318741
ENSG00000019102.12	5.7168007
ENSG00000019144.19	0.8906957
ENSG00000019169.10	5.4642277
ENSG00000019186.10	0.03699379
ENSG00000019485.13	4.1299696
ENSG00000019505.8	0.019509852
ENSG00000019549.13	0.18149213
ENSG00000019582.15	1297.2058
ENSG00000019991.18	19.178968
ENSG00000019995.6	20.854721
ENSG00000020129.16	12.976924
ENSG00000020181.18	15.864496
ENSG00000020219.9	0.31886914
ENSG00000020256.20	5.4130697
ENSG00000020426.11	6.651092
ENSG00000020577.14	0.94282687
ENSG00000020633.19	82.54482
ENSG00000020922.13	24.556026
ENSG00000021300.14	3.2920797
ENSG00000021355.13	507.31256
ENSG00000021461.17	0.21877408
ENSG00000021488.13	0.2488346
ENSG00000021574.13	14.628606
ENSG00000021645.20	0.15533754
ENSG00000021762.20	32.352203
ENSG00000021776.11	18.839972
ENSG00000021826.17	0.12638848
ENSG00000021852.13	0.013764238
ENSG00000022267.19	18.78897
ENSG00000022277.13	52.964573
ENSG00000022355.18	0.0047387187
ENSG00000022556.16	3.558769
ENSG00000022567.10	10.02279
ENSG00000022840.16	188.16544
ENSG00000022976.15	8.556395
ENSG00000023041.11	28.491503
ENSG00000023171.18	6.459089
ENSG00000023191.17	62.233932
ENSG00000023228.14	20.264488
ENSG00000023287.13	73.5939
ENSG00000023318.8	54.681183
ENSG00000023330.15	94.74189
ENSG00000023445.16	23.285275
ENSG00000023516.9	26.265194
ENSG00000023572.10	5.861017
ENSG00000023608.5	6.621324
ENSG00000023697.13	22.558228
ENSG00000023734.11	169.60439
ENSG00000023839.12	2.1786022
ENSG00000023892.11	129.01387
ENSG00000023902.14	53.024147
ENSG00000023909.10	11.777112
ENSG00000024048.11	45.993977
ENSG00000024422.12	7.6194844
ENSG00000024526.17	3.2015152
ENSG00000024862.18	51.32229
ENSG00000025039.15	23.372694
ENSG00000025156.13	40.19963
ENSG00000025293.17	30.668154
ENSG00000025423.11	0.38573793
ENSG00000025434.19	8.73465
ENSG00000025708.14	53.80091
ENSG00000025770.19	40.078243
ENSG00000025772.8	41.403446
ENSG00000025796.14	47.59931
ENSG00000025800.14	60.583366
ENSG00000026025.16	618.0017
ENSG00000026036.22	2.2334967
ENSG00000026103.22	11.269656
ENSG00000026297.16	17.531073
ENSG00000026508.20	266.56628
ENSG00000026559.14	0.14727095
ENSG00000026652.15	7.540104
ENSG00000026751.17	5.6990166
ENSG00000026950.17	27.292269
ENSG00000027001.10	7.197611
ENSG00000027075.15	21.926472
ENSG00000027644.5	0.3007869
ENSG00000027697.15	105.433495
ENSG00000027847.14	15.722525
ENSG00000027869.12	9.161827
ENSG00000028116.18	22.450468
ENSG00000028137.19	135.00946
ENSG00000028203.18	21.90352
ENSG00000028277.21	21.293383
ENSG00000028310.18	21.30391
ENSG00000028528.15	38.321552
ENSG00000028839.10	7.52449
ENSG00000029153.14	5.1737394
ENSG00000029363.17	137.1125
